Respondent,YearsCodingProf
38999,0-2 years
39000,3-5 years
39001,NA
39003,18-20 years
39004,0-2 years
39005,3-5 years
39006,18-20 years
39008,3-5 years
39009,9-11 years
39010,15-17 years
39011,NA
39012,3-5 years
39016,3-5 years
39017,NA
39018,0-2 years
39019,3-5 years
39021,0-2 years
39022,12-14 years
39025,0-2 years
39026,NA
39027,3-5 years
39029,6-8 years
39031,15-17 years
39032,0-2 years
39033,0-2 years
39036,3-5 years
39038,0-2 years
39039,6-8 years
39040,0-2 years
39042,0-2 years
39043,NA
39044,3-5 years
39045,6-8 years
39046,3-5 years
39047,6-8 years
39048,6-8 years
39049,15-17 years
39050,9-11 years
39051,3-5 years
39053,3-5 years
39054,3-5 years
39055,24-26 years
39057,15-17 years
39058,18-20 years
39059,0-2 years
39061,12-14 years
39063,0-2 years
39064,9-11 years
39065,3-5 years
39066,21-23 years
39068,0-2 years
39069,NA
39070,0-2 years
39071,6-8 years
39072,6-8 years
39073,0-2 years
39074,NA
39075,NA
39076,0-2 years
39077,0-2 years
39078,6-8 years
39079,12-14 years
39080,9-11 years
39081,9-11 years
39083,NA
39086,0-2 years
39087,3-5 years
39088,0-2 years
39089,15-17 years
39091,0-2 years
39093,0-2 years
39094,18-20 years
39095,6-8 years
39097,6-8 years
39098,6-8 years
39099,3-5 years
39101,6-8 years
39102,21-23 years
39105,3-5 years
39108,9-11 years
39110,0-2 years
39111,18-20 years
39113,3-5 years
39114,NA
39115,3-5 years
39116,0-2 years
39117,6-8 years
39118,12-14 years
39119,6-8 years
39120,24-26 years
39121,15-17 years
39122,30 or more years
39123,3-5 years
39125,0-2 years
39126,12-14 years
39127,3-5 years
39128,6-8 years
39132,NA
39133,3-5 years
39134,NA
39135,3-5 years
39136,3-5 years
39139,3-5 years
39141,0-2 years
39142,0-2 years
39144,0-2 years
39145,0-2 years
39146,3-5 years
39147,12-14 years
39150,3-5 years
39151,3-5 years
39153,0-2 years
39156,3-5 years
39157,NA
39162,9-11 years
39164,3-5 years
39165,9-11 years
39166,9-11 years
39167,9-11 years
39168,3-5 years
39169,0-2 years
39170,6-8 years
39171,6-8 years
39172,9-11 years
39175,18-20 years
39176,6-8 years
39178,6-8 years
39179,3-5 years
39180,3-5 years
39181,NA
39184,12-14 years
39185,3-5 years
39187,12-14 years
39188,12-14 years
39190,NA
39191,0-2 years
39192,0-2 years
39193,0-2 years
39194,21-23 years
39195,0-2 years
39197,9-11 years
39198,30 or more years
39199,3-5 years
39200,0-2 years
39202,NA
39203,30 or more years
39204,6-8 years
39205,9-11 years
39206,0-2 years
39207,6-8 years
39208,3-5 years
39209,0-2 years
39210,3-5 years
39211,NA
39212,3-5 years
39214,15-17 years
39218,NA
39219,3-5 years
39220,3-5 years
39222,3-5 years
39227,6-8 years
39228,9-11 years
39230,6-8 years
39231,3-5 years
39232,0-2 years
39233,18-20 years
39234,0-2 years
39235,0-2 years
39236,15-17 years
39237,3-5 years
39240,0-2 years
39241,15-17 years
39242,0-2 years
39244,6-8 years
39245,NA
39246,3-5 years
39247,3-5 years
39248,0-2 years
39250,9-11 years
39251,6-8 years
39252,6-8 years
39253,3-5 years
39254,3-5 years
39255,3-5 years
39256,21-23 years
39257,3-5 years
39258,3-5 years
39260,12-14 years
39261,0-2 years
39262,NA
39263,0-2 years
39264,0-2 years
39265,3-5 years
39267,6-8 years
39269,15-17 years
39270,9-11 years
39271,0-2 years
39272,0-2 years
39273,18-20 years
39274,9-11 years
39275,9-11 years
39278,NA
39279,9-11 years
39280,3-5 years
39281,NA
39284,15-17 years
39286,0-2 years
39288,9-11 years
39291,0-2 years
39292,6-8 years
39293,3-5 years
39294,NA
39295,3-5 years
39296,0-2 years
39298,NA
39299,NA
39300,3-5 years
39301,3-5 years
39304,3-5 years
39305,30 or more years
39307,0-2 years
39308,6-8 years
39309,3-5 years
39310,NA
39311,0-2 years
39312,3-5 years
39313,0-2 years
39314,3-5 years
39316,0-2 years
39317,6-8 years
39318,3-5 years
39319,0-2 years
39321,NA
39322,18-20 years
39323,0-2 years
39325,15-17 years
39327,0-2 years
39328,6-8 years
39329,9-11 years
39331,12-14 years
39332,6-8 years
39333,6-8 years
39335,3-5 years
39337,21-23 years
39338,6-8 years
39339,3-5 years
39340,NA
39343,0-2 years
39344,NA
39345,0-2 years
39346,9-11 years
39349,NA
39350,3-5 years
39351,NA
39353,0-2 years
39354,0-2 years
39356,3-5 years
39357,12-14 years
39358,12-14 years
39360,15-17 years
39361,0-2 years
39362,15-17 years
39363,9-11 years
39365,3-5 years
39366,15-17 years
39367,0-2 years
39368,3-5 years
39371,21-23 years
39372,6-8 years
39373,0-2 years
39374,15-17 years
39375,3-5 years
39377,6-8 years
39379,3-5 years
39380,30 or more years
39382,9-11 years
39383,0-2 years
39384,3-5 years
39385,6-8 years
39387,3-5 years
39388,9-11 years
39389,15-17 years
39390,21-23 years
39391,9-11 years
39392,3-5 years
39393,12-14 years
39396,3-5 years
39397,21-23 years
39398,NA
39399,NA
39400,6-8 years
39401,6-8 years
39402,0-2 years
39403,NA
39404,12-14 years
39405,6-8 years
39406,3-5 years
39409,3-5 years
39410,6-8 years
39411,3-5 years
39412,3-5 years
39413,0-2 years
39414,6-8 years
39416,0-2 years
39417,3-5 years
39418,NA
39419,0-2 years
39420,15-17 years
39421,24-26 years
39422,0-2 years
39423,3-5 years
39424,0-2 years
39428,NA
39429,NA
39430,12-14 years
39433,0-2 years
39434,3-5 years
39435,0-2 years
39436,0-2 years
39437,9-11 years
39439,9-11 years
39440,3-5 years
39441,6-8 years
39442,NA
39444,0-2 years
39446,3-5 years
39447,12-14 years
39448,0-2 years
39449,6-8 years
39450,3-5 years
39451,0-2 years
39452,0-2 years
39454,0-2 years
39455,3-5 years
39456,9-11 years
39459,3-5 years
39460,0-2 years
39461,18-20 years
39463,3-5 years
39465,6-8 years
39466,12-14 years
39467,6-8 years
39468,9-11 years
39469,15-17 years
39470,NA
39471,18-20 years
39473,9-11 years
39475,0-2 years
39476,3-5 years
39477,0-2 years
39478,0-2 years
39479,NA
39480,NA
39481,NA
39482,0-2 years
39483,6-8 years
39484,3-5 years
39487,6-8 years
39488,3-5 years
39489,3-5 years
39490,3-5 years
39491,NA
39492,3-5 years
39493,3-5 years
39494,NA
39495,18-20 years
39497,3-5 years
39498,3-5 years
39501,3-5 years
39502,6-8 years
39503,3-5 years
39504,3-5 years
39506,3-5 years
39507,3-5 years
39508,0-2 years
39510,30 or more years
39511,6-8 years
39512,12-14 years
39513,9-11 years
39514,3-5 years
39516,15-17 years
39517,12-14 years
39518,12-14 years
39519,18-20 years
39521,6-8 years
39522,0-2 years
39523,3-5 years
39524,0-2 years
39525,0-2 years
39527,NA
39530,18-20 years
39531,0-2 years
39533,NA
39535,6-8 years
39537,3-5 years
39538,6-8 years
39539,3-5 years
39541,18-20 years
39544,0-2 years
39545,6-8 years
39546,3-5 years
39547,6-8 years
39549,15-17 years
39550,NA
39552,NA
39555,3-5 years
39557,6-8 years
39558,9-11 years
39560,NA
39561,6-8 years
39565,9-11 years
39568,0-2 years
39571,6-8 years
39573,9-11 years
39577,6-8 years
39578,6-8 years
39580,6-8 years
39582,3-5 years
39583,0-2 years
39584,0-2 years
39588,9-11 years
39589,NA
39591,NA
39592,NA
39594,3-5 years
39595,6-8 years
39598,6-8 years
39599,0-2 years
39600,3-5 years
39602,6-8 years
39603,15-17 years
39604,0-2 years
39605,21-23 years
39606,9-11 years
39607,27-29 years
39609,9-11 years
39610,3-5 years
39611,3-5 years
39612,9-11 years
39613,0-2 years
39614,9-11 years
39615,6-8 years
39616,3-5 years
39617,6-8 years
39618,21-23 years
39619,15-17 years
39620,NA
39623,0-2 years
39624,6-8 years
39625,3-5 years
39626,3-5 years
39628,18-20 years
39629,0-2 years
39630,NA
39632,9-11 years
39633,30 or more years
39634,0-2 years
39636,0-2 years
39637,0-2 years
39638,3-5 years
39639,3-5 years
39642,NA
39643,3-5 years
39644,9-11 years
39645,15-17 years
39646,3-5 years
39647,3-5 years
39648,6-8 years
39649,3-5 years
39651,6-8 years
39652,18-20 years
39653,3-5 years
39656,6-8 years
39657,6-8 years
39658,0-2 years
39660,9-11 years
39662,3-5 years
39663,15-17 years
39664,9-11 years
39665,15-17 years
39666,NA
39667,NA
39668,12-14 years
39669,NA
39670,6-8 years
39672,3-5 years
39673,3-5 years
39674,3-5 years
39677,6-8 years
39679,NA
39680,6-8 years
39681,3-5 years
39682,NA
39683,6-8 years
39684,3-5 years
39685,9-11 years
39686,3-5 years
39688,12-14 years
39689,6-8 years
39692,0-2 years
39693,0-2 years
39694,3-5 years
39695,9-11 years
39696,15-17 years
39698,9-11 years
39701,9-11 years
39702,15-17 years
39704,9-11 years
39705,3-5 years
39707,21-23 years
39708,0-2 years
39709,9-11 years
39711,3-5 years
39712,3-5 years
39713,0-2 years
39714,NA
39715,21-23 years
39716,0-2 years
39717,9-11 years
39718,NA
39720,0-2 years
39723,NA
39725,3-5 years
39726,9-11 years
39728,3-5 years
39729,0-2 years
39730,18-20 years
39731,0-2 years
39732,6-8 years
39734,0-2 years
39736,12-14 years
39737,27-29 years
39738,3-5 years
39740,0-2 years
39743,NA
39744,0-2 years
39747,9-11 years
39748,NA
39749,9-11 years
39750,3-5 years
39751,6-8 years
39752,0-2 years
39754,3-5 years
39755,3-5 years
39756,NA
39757,NA
39758,3-5 years
39759,3-5 years
39760,6-8 years
39761,12-14 years
39763,9-11 years
39764,0-2 years
39765,3-5 years
39766,9-11 years
39767,3-5 years
39768,15-17 years
39769,6-8 years
39770,NA
39771,18-20 years
39773,0-2 years
39775,3-5 years
39776,0-2 years
39777,21-23 years
39779,6-8 years
39781,30 or more years
39782,24-26 years
39783,12-14 years
39784,NA
39786,9-11 years
39787,0-2 years
39788,9-11 years
39790,0-2 years
39791,3-5 years
39792,18-20 years
39793,18-20 years
39795,3-5 years
39796,NA
39800,0-2 years
39801,0-2 years
39805,3-5 years
39806,NA
39807,9-11 years
39808,NA
39809,9-11 years
39810,3-5 years
39814,9-11 years
39815,9-11 years
39816,3-5 years
39817,0-2 years
39818,3-5 years
39822,NA
39824,3-5 years
39826,6-8 years
39827,3-5 years
39828,0-2 years
39829,3-5 years
39830,0-2 years
39831,6-8 years
39834,15-17 years
39835,9-11 years
39836,NA
39838,3-5 years
39839,15-17 years
39840,18-20 years
39842,3-5 years
39845,0-2 years
39846,NA
39847,0-2 years
39848,6-8 years
39849,21-23 years
39850,3-5 years
39853,0-2 years
39854,15-17 years
39855,0-2 years
39857,9-11 years
39859,21-23 years
39864,12-14 years
39865,0-2 years
39866,9-11 years
39868,0-2 years
39870,12-14 years
39876,3-5 years
39878,18-20 years
39880,3-5 years
39881,0-2 years
39882,9-11 years
39883,6-8 years
39885,18-20 years
39886,9-11 years
39887,NA
39888,NA
39889,9-11 years
39890,0-2 years
39892,3-5 years
39894,15-17 years
39895,6-8 years
39896,0-2 years
39897,18-20 years
39898,3-5 years
39900,6-8 years
39901,3-5 years
39902,9-11 years
39903,0-2 years
39904,6-8 years
39906,0-2 years
39910,12-14 years
39911,21-23 years
39912,0-2 years
39913,3-5 years
39914,NA
39915,3-5 years
39916,0-2 years
39917,0-2 years
39919,NA
39920,30 or more years
39921,0-2 years
39922,6-8 years
39925,3-5 years
39926,21-23 years
39928,0-2 years
39929,6-8 years
39930,6-8 years
39931,6-8 years
39932,3-5 years
39933,NA
39934,12-14 years
39938,NA
39939,NA
39940,0-2 years
39942,NA
39943,NA
39945,12-14 years
39948,6-8 years
39949,0-2 years
39951,3-5 years
39952,9-11 years
39954,3-5 years
39956,0-2 years
39958,0-2 years
39960,NA
39961,9-11 years
39962,0-2 years
39963,NA
39964,6-8 years
39965,6-8 years
39966,0-2 years
39967,0-2 years
39968,3-5 years
39969,3-5 years
39970,6-8 years
39971,12-14 years
39973,NA
39974,9-11 years
39975,6-8 years
39976,0-2 years
39980,NA
39983,NA
39984,3-5 years
39985,9-11 years
39986,0-2 years
39988,9-11 years
39989,0-2 years
39990,12-14 years
39991,6-8 years
39992,9-11 years
39994,6-8 years
39995,3-5 years
39996,NA
39998,NA
39999,6-8 years
40002,3-5 years
40003,NA
40004,0-2 years
40006,3-5 years
40009,0-2 years
40010,3-5 years
40011,24-26 years
40012,9-11 years
40014,6-8 years
40015,0-2 years
40016,6-8 years
40019,21-23 years
40021,6-8 years
40022,12-14 years
40023,NA
40024,NA
40025,0-2 years
40026,3-5 years
40028,15-17 years
40029,0-2 years
40031,NA
40033,3-5 years
40034,0-2 years
40036,3-5 years
40037,15-17 years
40038,NA
40039,3-5 years
40041,0-2 years
40044,3-5 years
40045,9-11 years
40047,NA
40048,3-5 years
40049,3-5 years
40052,3-5 years
40053,6-8 years
40054,12-14 years
40055,NA
40056,3-5 years
40057,0-2 years
40058,9-11 years
40059,9-11 years
40060,6-8 years
40061,3-5 years
40063,0-2 years
40064,6-8 years
40065,3-5 years
40066,NA
40067,0-2 years
40069,6-8 years
40071,3-5 years
40072,12-14 years
40073,3-5 years
40075,3-5 years
40076,3-5 years
40077,0-2 years
40079,6-8 years
40080,0-2 years
40081,3-5 years
40082,9-11 years
40086,NA
40087,3-5 years
40088,6-8 years
40089,NA
40090,NA
40091,6-8 years
40092,3-5 years
40093,3-5 years
40094,3-5 years
40097,0-2 years
40098,3-5 years
40099,30 or more years
40100,12-14 years
40101,9-11 years
40102,3-5 years
40103,0-2 years
40104,6-8 years
40105,3-5 years
40106,3-5 years
40107,9-11 years
40108,18-20 years
40109,0-2 years
40110,0-2 years
40111,NA
40112,6-8 years
40113,6-8 years
40114,9-11 years
40115,21-23 years
40116,6-8 years
40118,3-5 years
40119,0-2 years
40120,3-5 years
40121,3-5 years
40125,6-8 years
40126,15-17 years
40127,0-2 years
40128,0-2 years
40129,3-5 years
40130,3-5 years
40132,0-2 years
40135,9-11 years
40136,3-5 years
40138,3-5 years
40139,0-2 years
40140,6-8 years
40141,3-5 years
40142,NA
40143,9-11 years
40144,3-5 years
40145,0-2 years
40146,3-5 years
40147,9-11 years
40148,6-8 years
40150,0-2 years
40152,3-5 years
40154,NA
40155,6-8 years
40157,6-8 years
40159,0-2 years
40160,6-8 years
40162,3-5 years
40163,12-14 years
40164,9-11 years
40165,0-2 years
40166,6-8 years
40167,0-2 years
40168,6-8 years
40169,0-2 years
40170,NA
40171,3-5 years
40172,0-2 years
40173,6-8 years
40174,0-2 years
40175,12-14 years
40176,21-23 years
40177,NA
40178,12-14 years
40180,12-14 years
40181,3-5 years
40182,NA
40183,NA
40185,NA
40186,3-5 years
40188,0-2 years
40189,NA
40190,3-5 years
40193,0-2 years
40194,3-5 years
40195,12-14 years
40196,3-5 years
40197,0-2 years
40199,0-2 years
40200,9-11 years
40201,12-14 years
40202,3-5 years
40203,3-5 years
40205,9-11 years
40207,3-5 years
40208,18-20 years
40209,0-2 years
40210,0-2 years
40211,3-5 years
40212,18-20 years
40214,15-17 years
40216,6-8 years
40219,3-5 years
40223,3-5 years
40225,18-20 years
40226,15-17 years
40227,0-2 years
40230,NA
40231,3-5 years
40232,6-8 years
40233,3-5 years
40234,12-14 years
40235,0-2 years
40237,24-26 years
40238,6-8 years
40239,3-5 years
40240,0-2 years
40241,3-5 years
40242,12-14 years
40243,3-5 years
40244,18-20 years
40250,18-20 years
40251,6-8 years
40254,0-2 years
40255,0-2 years
40256,3-5 years
40257,3-5 years
40258,3-5 years
40259,0-2 years
40260,3-5 years
40261,9-11 years
40262,3-5 years
40263,6-8 years
40264,NA
40265,3-5 years
40266,0-2 years
40267,15-17 years
40269,3-5 years
40271,12-14 years
40273,9-11 years
40274,0-2 years
40275,0-2 years
40276,NA
40277,3-5 years
40278,0-2 years
40280,3-5 years
40281,3-5 years
40283,3-5 years
40284,12-14 years
40285,3-5 years
40286,NA
40287,0-2 years
40292,3-5 years
40293,6-8 years
40294,6-8 years
40295,3-5 years
40296,12-14 years
40298,3-5 years
40299,NA
40301,9-11 years
40302,0-2 years
40304,NA
40307,3-5 years
40308,3-5 years
40309,9-11 years
40310,0-2 years
40314,9-11 years
40315,NA
40317,3-5 years
40318,3-5 years
40319,0-2 years
40322,24-26 years
40324,21-23 years
40326,6-8 years
40327,6-8 years
40328,NA
40329,0-2 years
40330,9-11 years
40331,0-2 years
40332,0-2 years
40333,3-5 years
40334,3-5 years
40335,6-8 years
40336,0-2 years
40337,3-5 years
40338,NA
40340,18-20 years
40341,0-2 years
40343,18-20 years
40345,21-23 years
40347,3-5 years
40349,0-2 years
40351,9-11 years
40352,3-5 years
40354,6-8 years
40355,15-17 years
40357,3-5 years
40358,0-2 years
40359,6-8 years
40361,3-5 years
40362,3-5 years
40364,3-5 years
40365,0-2 years
40366,6-8 years
40367,NA
40368,0-2 years
40369,3-5 years
40370,3-5 years
40371,0-2 years
40372,21-23 years
40374,9-11 years
40376,6-8 years
40377,3-5 years
40378,6-8 years
40380,6-8 years
40381,6-8 years
40382,3-5 years
40383,6-8 years
40384,15-17 years
40385,12-14 years
40387,0-2 years
40388,6-8 years
40389,0-2 years
40392,6-8 years
40393,3-5 years
40394,6-8 years
40396,NA
40397,3-5 years
40400,3-5 years
40402,15-17 years
40403,3-5 years
40404,0-2 years
40405,NA
40406,0-2 years
40408,3-5 years
40409,6-8 years
40411,3-5 years
40413,3-5 years
40414,3-5 years
40415,0-2 years
40416,3-5 years
40417,6-8 years
40418,6-8 years
40419,3-5 years
40422,12-14 years
40423,6-8 years
40426,15-17 years
40428,3-5 years
40431,0-2 years
40432,15-17 years
40434,15-17 years
40435,3-5 years
40436,6-8 years
40437,3-5 years
40438,12-14 years
40439,3-5 years
40440,3-5 years
40441,18-20 years
40442,NA
40443,3-5 years
40444,3-5 years
40445,3-5 years
40446,0-2 years
40447,6-8 years
40449,27-29 years
40450,9-11 years
40451,0-2 years
40452,3-5 years
40453,NA
40454,3-5 years
40456,9-11 years
40457,NA
40458,0-2 years
40459,0-2 years
40460,18-20 years
40461,3-5 years
40462,0-2 years
40464,6-8 years
40465,0-2 years
40466,3-5 years
40467,6-8 years
40470,6-8 years
40471,6-8 years
40474,3-5 years
40475,9-11 years
40476,21-23 years
40477,NA
40478,0-2 years
40480,9-11 years
40481,9-11 years
40482,NA
40483,0-2 years
40484,6-8 years
40485,3-5 years
40486,6-8 years
40487,3-5 years
40489,0-2 years
40490,0-2 years
40491,9-11 years
40493,3-5 years
40494,18-20 years
40495,NA
40496,3-5 years
40497,NA
40498,0-2 years
40499,0-2 years
40502,0-2 years
40503,6-8 years
40505,0-2 years
40506,12-14 years
40507,NA
40508,0-2 years
40509,0-2 years
40511,NA
40512,0-2 years
40514,NA
40515,6-8 years
40516,12-14 years
40517,30 or more years
40519,3-5 years
40520,9-11 years
40521,0-2 years
40522,3-5 years
40523,6-8 years
40524,21-23 years
40525,3-5 years
40527,6-8 years
